siteID,day,hour,year,month,weekday,gps_lat,gps_lon,value,umapX,umapY
08BEAC0287A4,23,6,2020,7,4,24.03887415,120.3847512,"[55.88888889, 35.9, 35.5, 35.88888889, 39.7, 38.3, 32.0]",6.6929607,5.878878
08BEAC0287A4,23,7,2020,7,4,24.03887415,120.3847512,"[35.9, 35.5, 35.88888889, 39.7, 38.3, 32.0, 27.8]",6.4062448,4.942105
08BEAC0287A4,23,8,2020,7,4,24.03887415,120.3847512,"[35.5, 35.88888889, 39.7, 38.3, 32.0, 27.8, 26.77777778]",6.9455233,4.3260336
08BEAC0287A4,23,9,2020,7,4,24.03887415,120.3847512,"[35.88888889, 39.7, 38.3, 32.0, 27.8, 26.77777778, 21.0]",7.659282,4.15487
08BEAC0287A4,23,10,2020,7,4,24.03887415,120.3847512,"[39.7, 38.3, 32.0, 27.8, 26.77777778, 21.0, 14.5]",8.928055,3.3057988
08BEAC0287A4,23,11,2020,7,4,24.03887415,120.3847512,"[38.3, 32.0, 27.8, 26.77777778, 21.0, 14.5, 9.0]",10.22852,2.266574
08BEAC0287A4,23,20,2020,7,4,24.03887415,120.3847512,"[12.4, 20.6, 13.7, 16.2, 26.44444444, 18.8, 36.1]",-0.14189205,2.6022093
08BEAC0287A4,23,21,2020,7,4,24.03887415,120.3847512,"[20.6, 13.7, 16.2, 26.44444444, 18.8, 36.1, 36.22222222]",1.2220614,3.2654927
08BEAC0287A4,23,22,2020,7,4,24.03887415,120.3847512,"[13.7, 16.2, 26.44444444, 18.8, 36.1, 36.22222222, 38.5]",1.3555436,3.5691626
08BEAC0287A4,23,23,2020,7,4,24.03887415,120.3847512,"[16.2, 26.44444444, 18.8, 36.1, 36.22222222, 38.5, 39.66666667]",2.8220863,3.5413637
08BEAC0287A4,24,0,2020,7,5,24.03887415,120.3847512,"[26.44444444, 18.8, 36.1, 36.22222222, 38.5, 39.66666667, 19.2]",4.8173738,2.8366706
08BEAC0287A4,24,1,2020,7,5,24.03887415,120.3847512,"[18.8, 36.1, 36.22222222, 38.5, 39.66666667, 19.2, 12.8]",6.9979005,2.2945857
08BEAC0287A4,24,2,2020,7,5,24.03887415,120.3847512,"[36.1, 36.22222222, 38.5, 39.66666667, 19.2, 12.8, 20.0]",8.686555,2.827406
08BEAC0287A4,24,3,2020,7,5,24.03887415,120.3847512,"[36.22222222, 38.5, 39.66666667, 19.2, 12.8, 20.0, 25.3]",9.614994,3.442509
08BEAC0287A4,24,4,2020,7,5,24.03887415,120.3847512,"[38.5, 39.66666667, 19.2, 12.8, 20.0, 25.3, 18.66666667]",10.127556,3.5609496
08BEAC0287A4,24,5,2020,7,5,24.03887415,120.3847512,"[39.66666667, 19.2, 12.8, 20.0, 25.3, 18.66666667, 27.0]",11.3584585,1.6440821
08BEAC0287B2,23,20,2020,7,4,22.567,120.567,"[6.2, 13.33333333, 18.3, 24.3, 23.5, 24.66666667, 35.9]",0.026397135,2.9480312
08BEAC0287B2,23,21,2020,7,4,22.567,120.567,"[13.33333333, 18.3, 24.3, 23.5, 24.66666667, 35.9, 33.2]",1.3711665,3.433072
08BEAC0287B2,23,22,2020,7,4,22.567,120.567,"[18.3, 24.3, 23.5, 24.66666667, 35.9, 33.2, 31.0]",3.2756119,2.892774
08BEAC0287B2,23,23,2020,7,4,22.567,120.567,"[24.3, 23.5, 24.66666667, 35.9, 33.2, 31.0, 31.0]",3.6255345,3.4134827
08BEAC0287B2,24,0,2020,7,5,22.567,120.567,"[23.5, 24.66666667, 35.9, 33.2, 31.0, 31.0, 28.5]",5.1289263,3.476693
08BEAC0287B2,24,1,2020,7,5,22.567,120.567,"[24.66666667, 35.9, 33.2, 31.0, 31.0, 28.5, 29.8]",6.4991717,3.8851743
08BEAC0287B2,24,2,2020,7,5,22.567,120.567,"[35.9, 33.2, 31.0, 31.0, 28.5, 29.8, 29.5]",6.939931,4.7933073
08BEAC0287B6,22,22,2020,7,3,24.15515067,120.5821589,"[21.88888889, 12.6, 16.6, 18.9, 23.8, 34.88888889, 39.5]",0.44414836,3.1774094
08BEAC0287B6,22,23,2020,7,3,24.15515067,120.5821589,"[12.6, 16.6, 18.9, 23.8, 34.88888889, 39.5, 30.8]",1.0556006,3.9107628
08BEAC0287B6,23,0,2020,7,4,24.15515067,120.5821589,"[16.6, 18.9, 23.8, 34.88888889, 39.5, 30.8, 39.0]",2.5838737,3.0009017
08BEAC0287B6,23,1,2020,7,4,24.15515067,120.5821589,"[18.9, 23.8, 34.88888889, 39.5, 30.8, 39.0, 42.2]",3.7748857,3.9568276
08BEAC0287B6,23,2,2020,7,4,24.15515067,120.5821589,"[23.8, 34.88888889, 39.5, 30.8, 39.0, 42.2, 32.0]",5.2222266,4.4138203
08BEAC0287B6,23,3,2020,7,4,24.15515067,120.5821589,"[34.88888889, 39.5, 30.8, 39.0, 42.2, 32.0, 31.0]",6.2905993,5.262488
08BEAC0287B6,23,4,2020,7,4,24.15515067,120.5821589,"[39.5, 30.8, 39.0, 42.2, 32.0, 31.0, 26.22222222]",6.913898,4.531465
08BEAC0287B6,23,5,2020,7,4,24.15515067,120.5821589,"[30.8, 39.0, 42.2, 32.0, 31.0, 26.22222222, 28.6]",7.2809978,4.1353045
08BEAC0287B6,23,6,2020,7,4,24.15515067,120.5821589,"[39.0, 42.2, 32.0, 31.0, 26.22222222, 28.6, 27.2]",7.7105174,4.57589
08BEAC0287B6,23,7,2020,7,4,24.15515067,120.5821589,"[42.2, 32.0, 31.0, 26.22222222, 28.6, 27.2, 41.11111111]",3.6300666,5.400257
